000->026 [label="5810m",dist=5810]
001->027 [label="3721m",dist=3721]
002->000 [label="4708m",dist=4708]
002->008 [label="1852m",dist=1852]
002->022 [label="1844m",dist=1844]
003->012 [label="6338m",dist=6338]
004->000 [label="6854m",dist=6854]
004->002 [label="3195m",dist=3195]
004->020 [label="2413m",dist=2413]
005->019 [label="7682m",dist=7682]
006->000 [label="8491m",dist=8491]
006->008 [label="5936m",dist=5936]
006->025 [label="9298m",dist=9298]
006->027 [label="3932m",dist=3932]
007->004 [label="3975m",dist=3975]
007->020 [label="5697m",dist=5697]
008->000 [label="7467m",dist=7467]
008->003 [label="8287m",dist=8287]
008->007 [label="7341m",dist=7341]
009->023 [label="2626m",dist=2626]
010->025 [label="2594m",dist=2594]
011->024 [label="9612m",dist=9612]
012->005 [label="3831m",dist=3831]
012->027 [label="6756m",dist=6756]
014->000 [label="4489m",dist=4489]
014->017 [label="3644m",dist=3644]
014->021 [label="7363m",dist=7363]
015->018 [label="8648m",dist=8648]
016->015 [label="6568m",dist=6568]
017->004 [label="4071m",dist=4071]
017->008 [label="7625m",dist=7625]
018->009 [label="9022m",dist=9022]
019->000 [label="4559m",dist=4559]
019->011 [label="3196m",dist=3196]
020->001 [label="9746m",dist=9746]
020->002 [label="8923m",dist=8923]
020->008 [label="3480m",dist=3480]
020->019 [label="6358m",dist=6358]
021->000 [label="1828m",dist=1828]
021->008 [label="8653m",dist=8653]
022->007 [label="9730m",dist=9730]
022->010 [label="2915m",dist=2915]
022->014 [label="4126m",dist=4126]
023->002 [label="4460m",dist=4460]
023->004 [label="1880m",dist=1880]
023->006 [label="2328m",dist=2328]
023->014 [label="1775m",dist=1775]
024->017 [label="9742m",dist=9742]
025->000 [label="8585m",dist=8585]
026->016 [label="4940m",dist=4940]
027->006 [label="3932m",dist=3932]
027->020 [label="8720m",dist=8720]
027->021 [label="7627m",dist=7627]
